,displayName,position,snaps,zone,zone-deep,zone-over,man,man-over,blitz,games played,Team,zone %,zone-deep %,zone-over %,man %,man-over %,blitz %,zone-total,man-total
2558060,Malik Hooker,FS,474,29,439,5,1,0,0,14,IND,6.1,92.6,1.1,0.2,0.0,0.0,473,1
2558061,Marshon Lattimore,CB,523,49,111,117,151,91,4,16,NO,9.4,21.2,22.4,28.9,17.4,0.8,277,242
2558062,Gareon Conley,CB,331,36,22,71,112,89,1,14,OAK,10.9,6.6,21.5,33.8,26.9,0.3,129,201
2558064,T.J. Watt,OLB,491,44,1,95,10,14,327,16,PIT,9.0,0.2,19.3,2.0,2.9,66.6,140,24
2558065,Adoree' Jackson,CB,497,69,149,131,97,45,6,16,TEN,13.9,30.0,26.4,19.5,9.1,1.2,349,142
2558067,Marlon Humphrey,CB,437,42,81,74,144,95,1,14,BAL,9.6,18.5,16.9,33.0,21.7,0.2,197,239
2558070,Raekwon McMillan,LB,338,46,6,241,4,10,31,16,MIA,13.6,1.8,71.3,1.2,3.0,9.2,293,14
2558077,Lano Hill,SS,179,43,81,25,7,11,12,12,SEA,24.0,45.3,14.0,3.9,6.1,6.7,149,18
2558094,Zach Cunningham,ILB,412,104,11,238,11,12,36,14,HOU,25.2,2.7,57.8,2.7,2.9,8.7,353,23
2558097,Ukeme Eligwe,ILB,26,5,1,14,1,0,5,3,NYG,19.2,3.8,53.8,3.8,0.0,19.2,20,1
2558108,Nate Hairston,CB,210,23,29,65,54,37,2,10,IND,11.0,13.8,31.0,25.7,17.6,1.0,117,91
2558119,Josh Jones,SS,270,93,95,37,16,1,28,11,GB,34.4,35.2,13.7,5.9,0.4,10.4,225,17
2558121,Elijah Lee,LB,234,47,4,154,6,4,19,8,SF,20.1,1.7,65.8,2.6,1.7,8.1,205,10
2558133,Montae Nicholson,FS,281,40,201,25,8,2,5,10,WAS,14.2,71.5,8.9,2.8,0.7,1.8,266,10
2558136,Fabian Moreau,CB,480,54,74,158,87,100,7,16,WAS,11.2,15.4,32.9,18.1,20.8,1.5,286,187
2558157,Ahkello Witherspoon,CB,337,40,73,50,136,37,1,12,SF,11.9,21.7,14.8,40.4,11.0,0.3,163,173
2558159,Xavier Woods,FS,474,94,333,45,1,1,0,14,DAL,19.8,70.3,9.5,0.2,0.2,0.0,472,2
2558163,Alex Anzalone,OLB,303,42,14,165,8,17,57,16,NO,13.9,4.6,54.5,2.6,5.6,18.8,221,25
2558165,Tarell Basham,LB,48,7,0,4,0,1,36,7,NYJ,14.6,0.0,8.3,0.0,2.1,75.0,11,1
2558166,Tyus Bowser,OLB,91,13,1,17,3,4,53,14,BAL,14.3,1.1,18.7,3.3,4.4,58.2,31,7
2558168,Rasul Douglas,CB,335,57,129,65,60,24,0,12,PHI,17.0,38.5,19.4,17.9,7.2,0.0,251,84
2558171,Corn Elder,CB,32,5,15,3,6,2,1,6,CAR,15.6,46.9,9.4,18.8,6.2,3.1,23,8
2558174,Rudy Ford,S,29,2,25,2,0,0,0,4,ARI,6.9,86.2,6.9,0.0,0.0,0.0,29,0
2558175,Nate Gerry,LB,56,23,1,28,0,1,3,9,PHI,41.1,1.8,50.0,0.0,1.8,5.4,52,1
2558176,Eddie Jackson,FS,527,64,389,63,5,4,2,14,CHI,12.1,73.8,12.0,0.9,0.8,0.4,516,9
2558182,Rayshawn Jenkins,SS,65,5,20,29,3,5,3,8,LAC,7.7,30.8,44.6,4.6,7.7,4.6,54,8
2558183,John Johnson,SS,511,58,314,92,20,15,12,16,LA,11.4,61.4,18.0,3.9,2.9,2.3,464,35
2558184,Damontae Kazee,SS,533,34,473,20,2,2,2,16,ATL,6.4,88.7,3.8,0.4,0.4,0.4,527,4
2558241,Blair Brown,OLB,1,0,0,1,0,0,0,1,JAX,0.0,0.0,100.0,0.0,0.0,0.0,1,0
2558248,Chuck Clark,FS,152,21,59,37,11,14,10,13,BAL,13.8,38.8,24.3,7.2,9.2,6.6,117,25
2558259,Shaquill Griffin,CB,489,50,70,112,169,85,3,15,SEA,10.2,14.3,22.9,34.6,17.4,0.6,232,254
2558274,Shalom Luani,FS,5,1,2,1,0,0,1,2,SEA,20.0,40.0,20.0,0.0,0.0,20.0,4,0
2558284,Pita Taumoepenu,LB,1,0,0,1,0,0,0,1,SF,0.0,0.0,100.0,0.0,0.0,0.0,1,0
2558289,Tanner Vallejo,LB,73,26,7,25,5,1,9,6,CLE,35.6,9.6,34.2,6.8,1.4,12.3,58,6
2558303,Jeff Richards,CB,1,1,0,0,0,0,0,1,LAC,100.0,0.0,0.0,0.0,0.0,0.0,1,0
2558786,Brandon Wilson,S,41,2,2,19,7,10,1,10,CIN,4.9,4.9,46.3,17.1,24.4,2.4,23,17
2558801,Jordan Evans,OLB,232,28,1,153,16,22,12,14,CIN,12.1,0.4,65.9,6.9,9.5,5.2,182,38
2558819,Derrick Jones,CB,17,4,1,6,4,2,0,1,NYJ,23.5,5.9,35.3,23.5,11.8,0.0,11,6
2558821,Jamal Agnew,CB,64,11,4,7,29,13,0,5,DET,17.2,6.2,10.9,45.3,20.3,0.0,22,42
2558830,Samson Ebukam,OLB,355,34,2,88,4,14,213,16,LA,9.6,0.6,24.8,1.1,3.9,60.0,124,18
2558847,Marcus Williams,FS,548,52,466,10,11,0,9,16,NO,9.5,85.0,1.8,2.0,0.0,1.6,528,11
2558849,Cameron Sutton,CB,166,23,5,44,44,35,15,10,PIT,13.9,3.0,26.5,26.5,21.1,9.0,72,79
2558851,Anthony Walker,ILB,329,19,4,272,1,9,24,15,IND,5.8,1.2,82.7,0.3,2.7,7.3,295,10
2558853,Mike Tyson,CB,93,5,61,24,1,1,1,5,HOU,5.4,65.6,25.8,1.1,1.1,1.1,90,2
2558857,Adrian Colbert,FS,150,13,131,4,0,0,2,5,SF,8.7,87.3,2.7,0.0,0.0,1.3,148,0
2558858,Joshua Holsey,CB,12,2,1,5,3,1,0,1,WAS,16.7,8.3,41.7,25.0,8.3,0.0,8,4
2558923,Riley Bullough,LB,34,11,0,20,1,1,1,3,TB,32.4,0.0,58.8,2.9,2.9,2.9,31,2
2558925,Austin Calitro,LB,117,20,6,83,0,2,6,7,SEA,17.1,5.1,70.9,0.0,1.7,5.1,109,2
2558971,Greg Mabin,CB,68,7,15,14,23,9,0,8,SF,10.3,22.1,20.6,33.8,13.2,0.0,36,32
2558976,Kenny Moore II,CB,472,33,14,226,58,115,26,15,IND,7.0,3.0,47.9,12.3,24.4,5.5,273,173
2558982,Hardy Nickerson,MLB,272,33,9,172,3,17,38,14,CIN,12.1,3.3,63.2,1.1,6.2,14.0,214,20
2558988,Lenzy Pipkins,CB,42,3,3,24,1,11,0,1,IND,7.1,7.1,57.1,2.4,26.2,0.0,30,12
2559012,Eric Wilson,OLB,149,11,1,104,2,8,23,12,MIN,7.4,0.7,69.8,1.3,5.4,15.4,116,10
2559037,Ahmad Thomas,ILB,5,0,0,4,0,0,1,1,IND,0.0,0.0,80.0,0.0,0.0,20.0,4,0
2559043,Chase Allen,OLB,5,1,0,2,0,1,1,2,MIA,20.0,0.0,40.0,0.0,20.0,20.0,3,1
2559053,Torry McTyer,CB,190,26,46,47,45,26,0,13,MIA,13.7,24.2,24.7,23.7,13.7,0.0,119,71
2559054,Nicholas Morrow,ILB,229,38,3,155,7,4,22,14,OAK,16.6,1.3,67.7,3.1,1.7,9.6,196,11
2559058,Maurice Smith,S,28,4,21,3,0,0,0,2,MIA,14.3,75.0,10.7,0.0,0.0,0.0,28,0
2559087,Arthur Maulet,CB,61,2,2,26,21,10,0,4,IND,3.3,3.3,42.6,34.4,16.4,0.0,30,31
2559109,Deante Burton,CB,2,0,0,1,0,1,0,1,ATL,0.0,0.0,50.0,0.0,50.0,0.0,1,1
2559109,Deante Burton,CB,37,4,2,10,7,14,0,1,HOU,10.8,5.4,27.0,18.9,37.8,0.0,16,21
2559141,B.J. Bello,MLB,2,2,0,0,0,0,0,2,PHI,100.0,0.0,0.0,0.0,0.0,0.0,2,0
2559152,Dylan Cole,ILB,72,15,8,38,4,1,6,8,HOU,20.8,11.1,52.8,5.6,1.4,8.3,61,5
2559164,Michael Davis,CB,336,37,69,58,129,43,0,13,LAC,11.0,20.5,17.3,38.4,12.8,0.0,164,172
2559197,Tre'Von Johnson,LB,1,1,0,0,0,0,0,1,LAC,100.0,0.0,0.0,0.0,0.0,0.0,1,0
2559200,Joe Jones,LB,13,3,0,8,0,0,2,2,DEN,23.1,0.0,61.5,0.0,0.0,15.4,11,0
2559208,Ryan Lewis,CB,97,15,26,16,26,13,1,5,BUF,15.5,26.8,16.5,26.8,13.4,1.0,57,39
2559287,Isaiah Irving,LB,69,6,0,19,0,1,43,9,CHI,8.7,0.0,27.5,0.0,1.4,62.3,25,1
2559356,Dominique Hatfield,CB,3,0,0,1,2,0,0,1,LA,0.0,0.0,33.3,66.7,0.0,0.0,1,2
2560712,Terrell Edmunds,S,541,125,273,78,12,21,32,16,PIT,23.1,50.5,14.4,2.2,3.9,5.9,476,33
2560713,Tremaine Edmunds,LB,465,50,6,349,0,7,53,15,BUF,10.8,1.3,75.1,0.0,1.5,11.4,405,7
2560714,Duke Ejiofor,LB,112,5,0,16,0,0,91,12,HOU,4.5,0.0,14.3,0.0,0.0,81.2,21,0
2560718,Rashaan Evans,LB,236,30,1,133,1,2,69,14,TEN,12.7,0.4,56.4,0.4,0.8,29.2,164,3
2560719,Brandon Facyson,CB,5,0,0,1,4,0,0,3,LAC,0.0,0.0,20.0,80.0,0.0,0.0,1,4
2560724,Kylie Fitts,LB,38,4,0,3,0,1,30,4,CHI,10.5,0.0,7.9,0.0,2.6,78.9,7,1
2560725,Minkah Fitzpatrick,S,469,71,119,98,90,75,16,16,MIA,15.1,25.4,20.9,19.2,16.0,3.4,288,165
2560728,Tre Flowers,CB,471,36,91,96,175,72,1,14,SEA,7.6,19.3,20.4,37.2,15.3,0.2,223,247
2560741,Holton Hill,CB,153,8,15,59,43,28,0,12,MIN,5.2,9.8,38.6,28.1,18.3,0.0,82,71
2560743,Jeff Holland,LB,16,1,0,1,0,1,13,3,DEN,6.2,0.0,6.2,0.0,6.2,81.2,2,1
2560746,Mike Hughes,CB,99,12,14,31,18,24,0,5,MIN,12.1,14.1,31.3,18.2,24.2,0.0,57,42
2560750,Joel Iyiegbuniwe,LB,18,3,0,12,0,0,3,4,CHI,16.7,0.0,66.7,0.0,0.0,16.7,15,0
2560753,Donte Jackson,CB,487,55,144,145,106,35,2,15,CAR,11.3,29.6,29.8,21.8,7.2,0.4,344,141
2560755,Josh Jackson,CB,397,57,49,82,143,56,10,16,GB,14.4,12.3,20.7,36.0,14.1,2.5,188,199
2560758,Leon Jacobs,LB,49,22,1,15,4,2,5,12,JAX,44.9,2.0,30.6,8.2,4.1,10.2,38,6
2560760,Derwin James,SS,523,131,176,110,45,16,45,15,LAC,25.0,33.7,21.0,8.6,3.1,8.6,417,61
2560762,Malik Jefferson,LB,3,0,0,1,0,1,1,2,CIN,0.0,0.0,33.3,0.0,33.3,33.3,1,1
2560763,Josey Jewell,LB,184,24,2,128,3,2,25,15,DEN,13.0,1.1,69.6,1.6,1.1,13.6,154,5
2560766,Taron Johnson,CB,238,27,11,111,37,46,6,11,BUF,11.3,4.6,46.6,15.5,19.3,2.5,149,83
2560774,Peter Kalambayi,LB,16,3,1,9,1,0,2,4,HOU,18.8,6.2,56.2,6.2,0.0,12.5,13,1
2560784,Harold Landry,OLB,348,20,0,66,3,6,253,15,TEN,5.7,0.0,19.0,0.9,1.7,72.7,86,9
2560789,Darius Leonard,LB,487,41,1,375,7,34,29,15,IND,8.4,0.2,77.0,1.4,7.0,6.0,417,41
2560795,Avonte Maddox,CB,343,42,172,67,49,11,2,10,PHI,12.2,50.1,19.5,14.3,3.2,0.6,281,60
2560808,Quenton Meeks,CB,26,1,4,5,12,4,0,2,JAX,3.8,15.4,19.2,46.2,15.4,0.0,10,16
2560816,Skai Moore,ILB,30,3,0,26,0,0,1,5,IND,10.0,0.0,86.7,0.0,0.0,3.3,29,0
2560819,Nick Nelson,CB,157,23,11,47,23,46,7,10,OAK,14.6,7.0,29.9,14.6,29.3,4.5,81,69
2560822,Parry Nickerson,CB,139,20,7,61,20,27,4,7,NYJ,14.4,5.0,43.9,14.4,19.4,2.9,88,47
2560826,Uchenna Nwosu,LB,159,13,1,22,0,8,115,15,LAC,8.2,0.6,13.8,0.0,5.0,72.3,36,8
2560827,Dorian O'Daniel,LB,213,26,3,144,6,15,19,13,KC,12.2,1.4,67.6,2.8,7.0,8.9,173,21
2560830,Isaiah Oliver,CB,155,9,20,19,63,43,1,11,ATL,5.8,12.9,12.3,40.6,27.7,0.6,48,106
2560839,Darius Phillips,CB,129,15,12,35,29,37,1,10,CIN,11.6,9.3,27.1,22.5,28.7,0.8,62,66
2560851,Justin Reid,SS,500,45,365,63,10,6,11,16,HOU,9.0,73.0,12.6,2.0,1.2,2.2,473,16
2560875,Andre Smith,LB,4,1,0,2,1,0,0,1,CAR,25.0,0.0,50.0,25.0,0.0,0.0,3,1
2560877,Roquan Smith,LB,521,39,4,397,8,30,43,16,CHI,7.5,0.8,76.2,1.5,5.8,8.3,440,38
2560881,Breeland Speaks,LB,248,23,0,54,2,7,162,15,KC,9.3,0.0,21.8,0.8,2.8,65.3,77,9
2560884,M.J. Stewart,CB,187,35,9,49,46,33,15,8,TB,18.7,4.8,26.2,24.6,17.6,8.0,93,79
2560887,Chandon Sullivan,CB,46,10,11,6,12,6,1,4,PHI,21.7,23.9,13.0,26.1,13.0,2.2,27,18
2560897,Matthew Thomas,LB,4,0,0,1,0,0,3,1,PIT,0.0,0.0,25.0,0.0,0.0,75.0,1,0
2560908,Leighton Vander Esch,LB,420,64,10,292,11,20,23,16,DAL,15.2,2.4,69.5,2.6,4.8,5.5,366,31
2560914,Levi Wallace,CB,196,20,21,52,66,33,4,7,BUF,10.2,10.7,26.5,33.7,16.8,2.0,93,99
2560916,Denzel Ward,CB,469,102,129,51,163,22,2,13,CLE,21.7,27.5,10.9,34.8,4.7,0.4,282,185
2560917,Fred Warner,LB,513,92,12,327,10,4,68,15,SF,17.9,2.3,63.7,1.9,0.8,13.3,431,14
2560928,Kyzir White,LB,38,11,2,22,2,1,0,2,LAC,28.9,5.3,57.9,5.3,2.6,0.0,35,3
2560947,Kenny Young,LB,193,30,0,107,2,5,49,16,BAL,15.5,0.0,55.4,1.0,2.6,25.4,137,7
2560948,Trevon Young,OLB,6,0,0,1,0,1,4,1,LA,0.0,0.0,16.7,0.0,16.7,66.7,1,1
2560950,Ola Adeniyi,OLB,4,0,0,0,0,0,4,1,PIT,0.0,0.0,0.0,0.0,0.0,100.0,0,0
2560952,Jaire Alexander,CB,403,81,68,76,115,55,8,13,GB,20.1,16.9,18.9,28.5,13.6,2.0,225,170
2560963,Anthony Averett,CB,40,3,10,6,17,4,0,5,BAL,7.5,25.0,15.0,42.5,10.0,0.0,19,21
2560964,Genard Avery,LB,428,127,1,24,16,2,258,16,CLE,29.7,0.2,5.6,3.7,0.5,60.3,152,18
2560966,Jerome Baker,LB,343,73,16,181,10,24,39,16,MIA,21.3,4.7,52.8,2.9,7.0,11.4,270,34
2560970,Jessie Bates,S,584,59,473,46,3,3,0,16,CIN,10.1,81.0,7.9,0.5,0.5,0.0,578,6
2560976,Keishawn Bierria,LB,5,2,1,1,0,1,0,2,DEN,40.0,20.0,20.0,0.0,20.0,0.0,4,1
2560982,Tony Brown,CB,150,34,43,35,31,7,0,10,GB,22.7,28.7,23.3,20.7,4.7,0.0,112,38
2560984,Oren Burks,LB,57,17,3,28,1,3,5,10,GB,29.8,5.3,49.1,1.8,5.3,8.8,48,4
2560986,Jason Cabinda,LB,46,9,0,28,0,0,9,10,OAK,19.6,0.0,60.9,0.0,0.0,19.6,37,0
2560999,Shaquem Griffin,LB,2,0,0,2,0,0,0,3,SEA,0.0,0.0,100.0,0.0,0.0,0.0,2,0
2561001,Grant Haley,CB,245,32,27,51,51,73,11,10,NYG,13.1,11.0,20.8,20.8,29.8,4.5,110,124
2561003,Shaun Dion Hamilton,LB,44,10,1,26,0,1,6,5,WAS,22.7,2.3,59.1,0.0,2.3,13.6,37,1
2561006,Marcell Harris,FS,159,42,55,36,7,7,12,7,SF,26.4,34.6,22.6,4.4,4.4,7.5,133,14
2561015,Lorenzo Carter,OLB,277,17,0,56,7,5,192,15,NYG,6.1,0.0,20.2,2.5,1.8,69.3,73,12
2561022,Jack Cichy,LB,2,1,0,0,0,1,0,1,TB,50.0,0.0,0.0,0.0,50.0,0.0,1,1
2561039,Carlton Davis,CB,362,37,52,54,158,61,0,13,TB,10.2,14.4,14.9,43.6,16.9,0.0,143,219
2561042,Nick DeLuca,LB,32,9,3,11,2,2,5,4,JAX,28.1,9.4,34.4,6.2,6.2,15.6,23,4
2561093,Jermaine Carter,LB,41,17,3,12,3,3,3,6,CAR,41.5,7.3,29.3,7.3,7.3,7.3,32,6
2561107,Corey Thompson,LB,27,1,0,15,4,1,6,3,BUF,3.7,0.0,55.6,14.8,3.7,22.2,16,5
2561131,George Odum,FS,102,20,64,10,1,0,7,9,IND,19.6,62.7,9.8,1.0,0.0,6.9,94,1
2561132,Foye Oluokun,LB,262,27,9,174,9,26,17,16,ATL,10.3,3.4,66.4,3.4,9.9,6.5,210,35
2561143,Ja'Whaun Bentley,LB,73,12,3,35,4,5,14,3,NE,16.4,4.1,47.9,5.5,6.8,19.2,50,9
2561147,Cornell Armstrong,CB,36,6,9,7,12,2,0,6,MIA,16.7,25.0,19.4,33.3,5.6,0.0,22,14
2561149,Matthew Adams,ILB,78,15,4,35,5,2,17,12,IND,19.2,5.1,44.9,6.4,2.6,21.8,54,7
2561155,Zaire Franklin,ILB,88,5,1,70,1,4,7,11,IND,5.7,1.1,79.5,1.1,4.5,8.0,76,5
2561207,Raven Greene,FS,29,10,12,0,5,0,2,3,GB,34.5,41.4,0.0,17.2,0.0,6.9,22,5
2561278,Tavierre Thomas,CB,7,2,1,1,2,1,0,1,CLE,28.6,14.3,14.3,28.6,14.3,0.0,4,3
2561283,Zeke Turner,LB,2,0,0,1,0,0,1,2,ARI,0.0,0.0,50.0,0.0,0.0,50.0,1,0
2561301,Chris Board,LB,6,0,0,2,0,0,4,1,BAL,0.0,0.0,33.3,0.0,0.0,66.7,2,0
2561316,Jalen Davis,CB,23,4,1,5,8,4,1,3,MIA,17.4,4.3,21.7,34.8,17.4,4.3,10,12
2561318,Tae Davis,ILB,190,37,3,111,5,0,34,11,NYG,19.5,1.6,58.4,2.6,0.0,17.9,151,5
2561328,Sharif Finch,OLB,94,10,0,14,0,7,63,15,TEN,10.6,0.0,14.9,0.0,7.4,67.0,24,7
2561340,Tre Herndon,CB,38,5,1,6,17,8,1,4,JAX,13.2,2.6,15.8,44.7,21.1,2.6,12,25
2561366,Frankie Luvu,LB,256,52,2,43,4,1,154,14,NYJ,20.3,0.8,16.8,1.6,0.4,60.2,97,5
2561383,Ben Niemann,LB,22,2,0,20,0,0,0,6,KC,9.1,0.0,90.9,0.0,0.0,0.0,22,0
2561417,Charvarius Ward,CB,67,7,10,16,30,4,0,4,KC,10.4,14.9,23.9,44.8,6.0,0.0,33,34
2561469,Darious Williams,CB,2,0,1,1,0,0,0,1,LA,0.0,50.0,50.0,0.0,0.0,0.0,2,0
2561527,Mike Ford,CB,198,19,52,44,54,29,0,7,DET,9.6,26.3,22.2,27.3,14.6,0.0,115,83
2561644,Adonis Alexander,CB,8,1,1,0,1,5,0,2,WAS,12.5,12.5,0.0,12.5,62.5,0.0,2,6
